Bar, Beat, Type
1, 1, 3
1, 3, 2
1, 4, 3
1, 5, 5
1, 7, 1
2, 1, 3
2, 3, 2
2, 4, 3
2, 5, 5
2, 6, 4
2, 7, 3
2, 8, 2
3, 1, 6
3, 2, 5
3, 3, 4
3, 4, 5
3, 5, 4
3, 6, 3
3, 7, 4
3, 8, 3
4, 1, 2
4, 5, 1
4, 6, 2
4, 7, 3
4, 8, 4
5, 1, 3
5, 3, 2
5, 4, 3
5, 5, 5
5, 7, 1
6, 1, 3
6, 3, 2
6, 4, 3
6, 5, 5
6, 6, 4
6, 7, 3
7, 8, 2
7, 1, 6
7, 2, 5
7, 3, 4
7, 4, 5
7, 5, 4
7, 6, 3
7, 7, 4
7, 8, 3
8, 1, 2
8, 6, 5
8, 7, 4
8, 8, 3
9, 1, 2
9, 7, 4
9, 8, 3
10, 1, 4
10, 3, 1
10, 5, 4
10, 7, 3
11, 1, 2
11, 5, 4
12, 1, 6
13, 1, 3
13, 2, 2
13, 3, 3
13, 4, 4
13, 5, 5
14, 1, 3
14, 2, 2
14, 3, 3
14, 4, 4
14, 5, 5
14, 7, 6
15, 1, 4
17, 1, 2
17, 4, 3
17, 5, 5
17, 6, 3
17, 7, 5
17, 8, 4
18, 1, 2
18, 4, 3
18, 5, 4
18, 6, 6
18, 7, 5
18, 8, 4
19, 1, 2
19, 4, 3
19, 5, 5
19, 6, 3
19, 7, 5
19, 8, 4
20, 1, 2
20, 5, 5
21, 1, 2
21, 4, 3
21, 5, 5
21, 6, 3
21, 7, 5
21, 8, 4
22, 1, 2
22, 4, 3
22, 5, 4
22, 6, 6
22, 7, 5
22, 8, 4
23, 1, 2
23, 4, 3
23, 5, 5
23, 6, 3
23, 7, 5
23, 8, 4
24, 1, 2
24, 5, 1
25, 1, 2






